case,threshold,goal_id,precision_at_k,recall_at_k,f1_at_k,fpr,candidate_count,admitted_count,relevant_count,tp,fp
case5,0.88,G-U0058-03,1.0,0.5,0.6667,0.0,57,5,10,5,0
case6,0.85,G-U0058-03,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0058-04,1.0,0.5,0.6667,0.0,9,5,10,5,0
case2,0.94,G-U0058-04,1.0,0.5,0.6667,0.0,21,5,10,5,0
case3,0.92,G-U0058-04,1.0,0.5,0.6667,0.0,38,5,10,5,0
case4,0.9,G-U0058-04,1.0,0.5,0.6667,0.0,63,5,10,5,0
case5,0.88,G-U0058-04,1.0,0.5,0.6667,0.0,71,5,10,5,0
case6,0.85,G-U0058-04,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0059-01,1.0,0.3,0.4615,0.0,3,3,10,3,0
case2,0.94,G-U0059-01,0.6,0.3,0.4,0.0328,9,5,10,3,2
case3,0.92,G-U0059-01,0.6,0.3,0.4,0.0328,24,5,10,3,2
case4,0.9,G-U0059-01,0.6,0.3,0.4,0.0328,54,5,10,3,2
case5,0.88,G-U0059-01,0.6,0.3,0.4,0.0328,71,5,10,3,2
case6,0.85,G-U0059-01,0.6,0.3,0.4,0.0328,71,5,10,3,2
case1,0.96,G-U0059-02,1.0,0.5,0.6667,0.0,7,5,10,5,0
case2,0.94,G-U0059-02,1.0,0.5,0.6667,0.0,11,5,10,5,0
case3,0.92,G-U0059-02,1.0,0.5,0.6667,0.0,20,5,10,5,0
case4,0.9,G-U0059-02,1.0,0.5,0.6667,0.0,48,5,10,5,0
case5,0.88,G-U0059-02,1.0,0.5,0.6667,0.0,64,5,10,5,0
case6,0.85,G-U0059-02,1.0,0.5,0.6667,0.0,71,5,10,5,0
case1,0.96,G-U0059-03,1.0,0.5,0.6667,0.0,6,5,10,5,0
case2,0.94,G-U0059-03,1.0,0.5,0.6667,0.0,6,5,10,5,0
case3,0.92,G-U0059-03,1.0,0.5,0.6667,0.0,6,5,10,5,0
case4,0.9,G-U0059-03,1.0,0.5,0.6667,0.0,6,5,10,5,0
case5,0.88,G-U0059-03,1.0,0.5,0.6667,0.0,7,5,10,5,0
case6,0.85,G-U0059-03,1.0,0.5,0.6667,0.0,26,5,10,5,0
case1,0.96,G-U0059-04,1.0,0.4,0.5714,0.0,4,4,10,4,0
case2,0.94,G-U0059-04,0.8,0.4,0.5333,0.0164,8,5,10,4,1
case3,0.92,G-U0059-04,0.8,0.4,0.5333,0.0164,16,5,10,4,1
case4,0.9,G-U0059-04,0.8,0.4,0.5333,0.0164,34,5,10,4,1
case5,0.88,G-U0059-04,0.8,0.4,0.5333,0.0164,54,5,10,4,1
case6,0.85,G-U0059-04,0.8,0.4,0.5333,0.0164,71,5,10,4,1
case1,0.96,G-U0060-01,1.0,0.4,0.5714,0.0,4,4,10,4,0
case2,0.94,G-U0060-01,1.0,0.4,0.5714,0.0,4,4,10,4,0
case3,0.92,G-U0060-01,0.8,0.4,0.5333,0.0141,7,5,10,4,1
case4,0.9,G-U0060-01,0.8,0.4,0.5333,0.0141,22,5,10,4,1
case5,0.88,G-U0060-01,0.8,0.4,0.5333,0.0141,43,5,10,4,1
case6,0.85,G-U0060-01,0.8,0.4,0.5333,0.0141,69,5,10,4,1
case1,0.96,G-U0060-02,1.0,0.5,0.6667,0.0,6,5,10,5,0
case2,0.94,G-U0060-02,1.0,0.5,0.6667,0.0,10,5,10,5,0
case3,0.92,G-U0060-02,1.0,0.5,0.6667,0.0,34,5,10,5,0
case4,0.9,G-U0060-02,1.0,0.5,0.6667,0.0,65,5,10,5,0
case5,0.88,G-U0060-02,1.0,0.5,0.6667,0.0,81,5,10,5,0
case6,0.85,G-U0060-02,1.0,0.5,0.6667,0.0,81,5,10,5,0
case1,0.96,G-U0060-03,0.8,0.4,0.5333,0.0141,18,5,10,4,1
case2,0.94,G-U0060-03,0.8,0.4,0.5333,0.0141,34,5,10,4,1
case3,0.92,G-U0060-03,0.8,0.4,0.5333,0.0141,52,5,10,4,1
case4,0.9,G-U0060-03,0.8,0.4,0.5333,0.0141,68,5,10,4,1
case5,0.88,G-U0060-03,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case6,0.85,G-U0060-03,0.8,0.4,0.5333,0.0141,81,5,10,4,1
case1,0.96,G-U0060-04,1.0,0.3,0.4615,0.0,3,3,10,3,0
case2,0.94,G-U0060-04,0.8,0.4,0.5333,0.0141,7,5,10,4,1
case3,0.92,G-U0060-04,0.8,0.4,0.5333,0.0141,14,5,10,4,1
case4,0.9,G-U0060-04,0.8,0.4,0.5333,0.0141,20,5,10,4,1
case5,0.88,G-U0060-04,0.8,0.4,0.5333,0.0141,42,5,10,4,1
case6,0.85,G-U0060-04,0.8,0.4,0.5333,0.0141,72,5,10,4,1
case1,0.96,G-U0060-05,1.0,0.2,0.3333,0.0,2,2,10,2,0
case2,0.94,G-U0060-05,1.0,0.2,0.3333,0.0,2,2,10,2,0
case3,0.92,G-U0060-05,0.6,0.3,0.4,0.0282,13,5,10,3,2
case4,0.9,G-U0060-05,0.6,0.3,0.4,0.0282,27,5,10,3,2
case5,0.88,G-U0060-05,0.6,0.3,0.4,0.0282,35,5,10,3,2
case6,0.85,G-U0060-05,0.6,0.3,0.4,0.0282,67,5,10,3,2
case1,0.96,G-U0061-01,1.0,0.1,0.1818,0.0,1,1,10,1,0
case2,0.94,G-U0061-01,1.0,0.5,0.6667,0.0,6,5,10,5,0
case3,0.92,G-U0061-01,1.0,0.5,0.6667,0.0,12,5,10,5,0
